Username,FirstName,LastName,RoleId,RoleName,CourseOfferingId,CourseOfferingCode,CourseOfferingName,CourseSectionCode,GradeItemCategoryId,GradeItemCategoryName,GradeItemId,GradeItemName,GradeItemWeight,PointsNumerator,PointsDenominator,GradeValue,GradeLastModified
elhoota,Zili,Seloberes,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Writing,1281019,B&A Q9,0.49,5.0,5.0,100.0,2018-09-25T00:53:29.837
diazjimf,Bahaeldin,Raberimandoab,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Writing,1268208,B&A Question 1,0.49,5.0,5.0,100.0,2018-09-21T01:19:44.617
raberims,Lin,Zhydel Etherton,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215617,Assignments,1268208,Malala Discussion Question 11,0.49,4.0,5.0,100.0,2018-11-14T14:12:14.100
mohams,Grace,Shikoa,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Assignments,1268204,Discussion Practice 1 Identity,0.49,10.0,10.0,100.0,2018-12-10T02:15:25.240
shikoam,Debbie Hazel,Przyluska Schmitt,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Writing,1268204,B&A Q9,0.49,9.5,5.0,100.0,2018-12-03T14:47:19.293
giangn,Ngoc,Diaz Jimenez,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Quizzes,1277309,Malala Discussion Q7,1.83,10.0,5.0,100.0,2018-11-16T11:27:05.480
linl3,Lin,Mohamed,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Assignments,1289020,B&A Quiz 4,0.49,5.0,5.0,100.0,2018-11-01T19:22:33.387
burkhan1,Fnu,Shikoa,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Tests,1288796,B&A Q7,0.49,5.0,5.0,100.0,2018-09-18T12:36:05.683
linl3,Said,Abouda,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1261062,Writing,1279506,Malala Discussion Q4,0.49,5.0,5.0,100.0,2018-09-05T14:10:26.877
giangn,Yasir,Przyluska Schmitt,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Diagnostic Tests,1213540,Paragraph 1 see p13,0.49,9.0,5.0,100.0,2018-11-12T05:30:09.840
mohams,Fiorella,Abouda,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,0,Writing,1271084,Paragraph 1 see p13,1.97,20.0,5.0,82.0,2018-09-16T14:22:07.297
esterf,Fiorella,Burkharedt,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215616,Quizzes,1277120,X Words and Patterns,1.47,5.0,10.0,100.0,2018-11-25T17:16:32.307
burkhan1,Debbie Hazel,Elhoot,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215618,Tests,1275293,Malala Quizzes,1.32,5.0,4.0,100.0,2018-10-15T14:05:32.950
mohams,Bahaeldin,Lin,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Assignments,1287083,Fish Cheeks Assessment Qs Sept 10,0.49,5.0,5.0,100.0,2018-11-26T16:54:46.920
aboudab,Judyta,Zhydel Etherton,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Assignments,1280135,Field Trips and Discussions,0.49,8.0,10.0,90.0,2018-09-25T01:19:44.510
zhydelev,Judyta,Zhydel Etherton,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215618,Assignments,1268204,Malala Quiz 5,0.49,5.0,5.0,100.0,2018-10-03T17:38:31.903
diazjimf,Said,Al Hadje,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Assignments,1281021,Research Project Steps 1-4 due Oct 15,0.98,10.0,5.0,100.0,2018-12-14T18:52:00.033
esterf,Grace,Burkharedt,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Writing,1279505,Malala Discussion Q5,1.32,5.0,50.0,100.0,2018-11-07T19:28:47.993
mohams,Said,Seloberes,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215617,Assignments,1271082,B&A Q8,0.49,6.0,45.0,62.5,2018-11-16T02:23:56.513
shikoam,Mmunda,Raberimandoab,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Tests,1289020,Annotated Article,0.49,5.0,4.0,100.0,2018-12-10T02:00:01
aboudab,Grace,Malone,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Quizzes,1278468,Malala Discussion Q8,0.49,43.02,5.0,100.0,2018-09-26T23:46:16.360
burkhan1,Judyta,Shikoa,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215617,Assignments,1284445,Discussion Practice 1 Identity,6.58,10.0,10.0,100.0,2018-09-12T20:38:43.650
zhydelev,Lin,Anzaldua,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,0,Assignments,1275293,Malala Discussion Q13,5.0,67.0,10.0,80.0,2018-09-08T14:20:32.863
anzalduz,Said,Burkharedt,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Assignments,1289020,Malala Quizzes,2.2,5.0,5.0,100.0,2018-10-28T22:27:34.473
diazjimf,Judyta,Shikoa,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Assignments,1286489,Final Calculated Grade,0.0,10.0,10.0,100.0,2018-09-16T20:46:14.013
burkhan1,Noriko,Ester,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215617,Quizzes,1279505,New General Service List Vocab,1.47,5.0,5.0,100.0,2018-11-28T14:57:25.610
przylusj,Viktoriya,Sango,104,Student,167991,AAST290-41430-201910,ESOL Level 4 Combined Skills - 41430,AAST290-41430-201910,1215615,Assignments,1272715,B&A Q9,1.32,19.0,5.0,70.0,2018-11-12T13:16:18.507
