Username,FirstName,LastName,RoleId,RoleName,CourseOfferingId,CourseOfferingCode,CourseOfferingName,CourseSectionCode,GradeItemCategoryId,GradeItemCategoryName,GradeItemId,GradeItemName,GradeItemWeight,PointsNumerator,PointsDenominator,GradeValue,GradeLastModified
smitc242,Kollin,Pilkinton,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243824,In-class Assg.,1243760,Ch 9 ICA,,10.0,5.0,100.0,2018-09-18T12:18:27.847
bellmork,Anita,Flint,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243801,Paper HMWK,1243800,CH 3 HMWK,,3.0,20.0,20.0,2018-12-15T16:31:52.553
chimieng,Austin,Hall,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243775,In-class Assg.,1243787,Classification Worksheet I,,0.0,4.0,133.33,2018-12-11T14:35:29.057
taylot47,Gabriel,Hall,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243833,Connect,1243763,I.V. EC Ch 10 - 13,0.0,0.0,20.0,100.0,2018-09-18T12:10:51.927
salimt1,Tevin,De Leon,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243811,Quizzes,1243765,Interactive Videos Extra Credit Ch 1-4,,16.0,5.0,100.0,2018-09-04T11:53:27.260
carpek18,Kody,Carpenter,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243811,In-class Assg.,1243771,CH 6 HMWK,0.0,3.0,10.0,100.0,2018-11-28T21:08:07.670
carlk5,Muhammad,Wood,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243762,Exams,1243822,CH 5 Con,,22.0,10.0,133.33,2018-09-19T03:16:10.260
mcgilla3,Silvester,Murray,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243801,Paper HMWK,1243768,Periodic EC,,10.0,3.0,100.0,2018-11-28T20:41:17.220
chimieng,Adam,Brooks,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243775,Connect,1243766,CH 10 QZ,,0.0,10.0,52.0,2018-09-18T12:18:27.847
flintj4,Dakota,Hughes,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243775,Paper HMWK,1243768,Classification Worksheet II,,8.0,10.0,100.0,2018-09-24T18:50:39.733
watterj1,Lindsey,Rogers,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243788,Other,1243820,Final Adjusted Grade,0.0,10.0,3.0,80.0,2018-11-19T16:37:01.880
deleona8,Amanda,Lovellette,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243762,Other,1243776,Periodic EC,,5.0,10.0,0.0,2018-10-06T23:17:59.237
murraa14,Daniel,Brooks,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243762,Connect,1243764,Final Exam,,5.0,2.0,0.0,2018-12-01T01:06:20.487
carpek18,Amanda,McGill,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243775,In-class Assg.,1243807,I.V. EC Ch 5 - 9,,0.0,20.0,100.0,2018-10-21T03:41:41.350
myersn4,Kollin,Hammad,104,Student,167927,ACCG210-40185-201910,Principles of Accounting I - 40185,ACCG210-40185-201910,1243775,,1243766,CH 4 Con,,80.0,4.0,100.0,2018-12-15T16:31:52.757
