Username,FirstName,LastName,RoleId,RoleName,CourseOfferingId,CourseOfferingCode,CourseOfferingName,CourseSectionCode,GradeItemCategoryId,GradeItemCategoryName,GradeItemId,GradeItemName,GradeItemWeight,PointsNumerator,PointsDenominator,GradeValue,GradeLastModified
testaa,Ashley,Kennedy,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Assignments,1246182,Somethign About You,0.47,93.61,4.0,100.00,2018-10-29T18:22:29.573
willd174,Nicholas,Hoskins,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,,1246161,Session 19,0.47,4.0,4.0,100.00,2018-11-13T15:13:25.150
hoskina3,Aliana,Seelman,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,0,Attendance and Participation,1244118,Session 32,0.47,0.0,4.0,100.00,2018-09-11T14:24:22.270
singerj5,Jeremiah,Welch,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246171,Project 1-Propaganda,0.47,4.0,4.0,100.00,2018-08-30T13:00:07.873
hockingk,Ashleigh,Takyi,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,,1246165,Session 25,6.42,65.0,4.0,0.00,2018-09-11T14:28:46.173
kennec11,Daniel,Williams,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,0,Attendance and Participation,1217517,Balance,0.47,40.37,4.0,89.00,2018-10-16T14:24:06.403
wozniad2,Judi,Singer,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Assignments,1246182,Scale Exercise,0.47,67.0,4.0,100.00,2018-11-27T15:21:48.440
testaa,Daniel,Lopez,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246157,Session 30,0.47,4.0,4.0,94.00,2018-12-11T14:04:07.030
vanburm2,Erik,Huff,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246174,Emphasis and Focal Point,0.47,0.0,4.0,100.00,2018-12-11T15:14:11.370
kennec11,Taylor,Seelman,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,,1244116,Session 3,0.47,0.0,4.0,100.00,2018-12-11T14:04:07
craigt3,Kayley,Craig,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,,1246171,Session 19,0.47,4.0,4.0,100.00,2018-10-25T14:16:16.067
lavigna5,Judi,Singer,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Assignments,1246173,Session 6,0.47,0.0,4.0,100.00,2018-12-14T18:18:28.997
singerj5,Daniel,Hocking,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246160,Session 11,0.47,0.0,28.0,100.00,2018-09-04T14:12:41.527
armsta18,Jeremiah,Hocking,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,Assignments,1246159,Session 30,15.0,0.0,4.0,100.00,2018-12-14T18:17:00.700
testaa,Parker,Armstrong,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1213468,Session 4   9-4,2.75,64.5,4.0,pass,2018-11-13T14:09:43.620
wozniad2,Donald,Welch,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,Assignments,1246158,Session 5,1.38,4.0,4.0,0.00,2018-10-08T20:39:51.403
kennec11,Taylor,Seelman,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,Attendance and Participation,1244118,Final Calculated Grade,0.47,4.0,4.0,0.00,2018-11-13T15:13:25.070
welchn2,Ashleigh,Welch,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Assignments,1246182,Communications Quiz,0.47,91.0,4.0,pass,2018-12-11T14:04:06.937
armsta18,Jeremiah,Lavigne,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246169,Session 22,2.75,0.0,4.0,100.00,2018-12-11T17:44:26.237
singerj5,Judi,Seelman,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1244116,Session 10,6.42,66.0,70.0,100.00,2018-12-11T13:26:36.293
welchn2,Erik,Kennedy,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246170,Session 31,0.47,0.0,70.0,68.57,2018-10-04T14:16:28.850
hockingk,Ashley,Armstrong,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,,1246177,Session 18,0.47,4.0,4.0,100.00,2018-12-13T15:14:48.980
huffp,Ashley,Williams,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246167,Session 23,0.47,4.0,4.0,97.14,2018-11-27T15:21:48.453
hockingk,Judi,Takyi,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,Attendance and Participation,1244112,Session 19,2.75,4.0,4.0,75.71,2018-10-09T12:28:03.913
lopezs19,Marcia,Williams,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,Attendance and Participation,1246151,Space,0.47,4.0,,100.00,2018-10-09T12:28:03.867
kennec11,Jeremiah,Hoskins,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246182,Session 4   9-4,0.47,0.0,4.0,100.00,2018-10-11T14:28:38.317
welchn2,Daniel,Wozniak,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1244117,Session 20,0.47,29.94,4.0,100.00,2018-08-30T14:12:50.360
willd174,Ashleigh,Takyi,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246171,Session 2,0.47,90.0,4.0,100.00,2018-12-04T15:18:34.617
seelmane,Cristina,Lavigne,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Assignments,1246180,Session 22,0.47,4.0,4.0,100.00,2018-10-29T18:21:54.637
kennec11,Sophia,Lavigne,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1244118,Unity,6.42,4.0,70.0,100.00,2018-11-02T16:53:18.827
kennec11,Parker,Craig,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,,1217513,Session 6,9.17,4.0,4.0,100.00,2018-12-14T18:10:28.440
singerj5,Aliana,Kennedy,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1244114,Session 26,0.47,4.0,4.0,100.00,2018-09-18T14:13:22.993
singerj5,Ashleigh,Singer,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,Attendance and Participation,1258005,Session 27,6.42,0.0,100.0,100.00,2018-12-11T17:45:09.487
kennec11,Nicholas,Testa,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,0,Assignments,1246158,Session 31,0.47,4.0,100.0,99.29,2018-10-04T14:16:28.833
lavigna5,Daniel,Armstrong,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246178,Session 11,6.42,15.0,4.0,82.86,2018-10-18T14:41:01.380
huffp,Sophia,Huff,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,Assignments,1244120,Session 32,0.47,4.0,,100.00,2018-10-02T14:13:22.460
hoskina3,Ashleigh,Huff,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Assignments,1244112,Value and Color as Metaphor,6.42,0.0,4.0,100.00,2018-09-06T14:08:54.800
takyij,Cristina,Wozniak,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Assignments,1246153,Session 13,0.47,4.0,28.0,0.00,2018-08-28T14:13:18.910
testaa,Marcia,Singer,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,Attendance and Participation,1246173,Session 20,6.42,56.1,4.0,100.00,2018-09-20T14:12:32.420
armsta18,Judi,Testa,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1217513,Session 8,6.42,4.0,,100.00,2018-11-15T15:18:16.740
hockingk,Daniel,Armstrong,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1258005,Session 30,0.47,4.0,4.0,93.33,2018-09-06T14:09:27.783
huffp,Arthur,Hoskins,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,Attendance and Participation,1246172,Session 10,0.47,4.0,100.0,100.00,2018-09-18T14:49:26.307
lopezs19,Daniel,Craig,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1246150,,1244118,Rhythm and Color Schemes,0.47,0.0,70.0,100.00,2018-10-02T14:13:22.413
welchn2,Ashleigh,Takyi,104,Student,167827,ARTS102-40582-201910,Design & Communication - 40582,ARTS102-40582-201910,1217511,Attendance and Participation,1244112,Final Exam,0.47,87.0,4.0,0.00,2018-11-01T14:17:40.017
