Username,FirstName,LastName,RoleId,RoleName,CourseOfferingId,CourseOfferingCode,CourseOfferingName,CourseSectionCode,GradeItemCategoryId,GradeItemCategoryName,GradeItemId,GradeItemName,GradeItemWeight,PointsNumerator,PointsDenominator,GradeValue,GradeLastModified
hobsone1,Jennifer,Latunski,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231167,In-class Activities,1231217,Quiz 2 - 9-24,,0.1,1.0,91.44,2018-10-21T01:35:19.290
lingx2,Jennifer,Tyler,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231168,Lab Activities,1236310,Quiz 7 - 12-10,,1.0,1.0,100.0,2018-12-19T04:13:37.850
sandbra1,Alex,Charles,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231169,In-class Activities,1236306,#9 - 10-29,,6.31,99.0,100.0,2018-09-19T15:27:54.663
onuoham,Jacob,Richardson,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231168,Daily Partcipation,1236309,10-8,,0.1,0.1,100.0,2018-09-26T19:01:19.980
schraua2,Alex,Charles,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231168,Daily Partcipation,1231219,Quiz 7 - 12-10,,1.0,0.5,100.0,2018-11-13T21:37:46.237
weilerb2,Sherilyn,Morgan,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231167,Quizzes,1231187,#15 - 12-5,,1.0,1.5,100.0,2018-11-27T16:15:08.587
charlep1,Jacob,Eva,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231169,Daily Partcipation,1236328,#10 - 11-5,,1.0,1.0,100.0,2018-09-19T15:55:06.387
warret15,Tanner,Sandbrook,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231168,Daily Partcipation,1236315,#6 - 10-8 - #2,,0.1,1.0,100.0,2018-11-14T05:37:01.880
sandbra1,Pilar,Pitchford,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231171,Quizzes,1231180,Wiki 3 - 10-29,,1.5,7.0,100.0,2018-11-13T21:37:46.393
weilerb2,David,Onuoha,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231169,Quizzes,1231181,#3 - 9-17,,1.0,1.0,100.0,2018-11-14T05:37:02.020
levenei,Xiuen,Schrauben,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231169,Daily Partcipation,1231206,Wiki 3 - 10-29,,0.1,0.1,100.0,2018-12-17T19:46:43.697
pitchfs1,Isabella,Pitchford,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231168,Daily Partcipation,1236311,12-5,,1.0,1.0,100.0,2018-12-06T01:46:52.777
thasini,Rocco,Mahfuz,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231171,Daily Partcipation,1236317,Exam 4 - 10-22,,0.1,0.1,100.0,2018-10-22T03:17:19.297
morgar13,Kelsey,Charles,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231168,Quizzes,1231216,LinkedIn Profile,,1.0,0.1,100.0,2018-11-25T03:18:40.073
reeser5,Rocco,Reese,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231167,Lab Activities,1231200,Quiz 4 - 10-18,,1.35,0.1,100.0,2018-10-22T19:18:12.877
richad14,Kelsey,Schrauben,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231167,In-class Activities,1231222,Lab Buffer,,1.0,1.0,100.0,2018-11-13T21:37:46.360
heddyj1,Imaad,Hobson,104,Student,167603,BIOL121-40319-201910,Biol Foundation for Physiology - 40319,BIOL121-40319-201910,1231167,Exams,1231224,10-17,,0.0,0.1,100.0,2018-11-25T15:54:42.900
