Username,FirstName,LastName,RoleId,RoleName,CourseOfferingId,CourseOfferingCode,CourseOfferingName,CourseSectionCode,GradeItemCategoryId,GradeItemCategoryName,GradeItemId,GradeItemName,GradeItemWeight,PointsNumerator,PointsDenominator,GradeValue,GradeLastModified
amirn,Cormac,Conklin,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220462,Online Quiz,1220508,Quiz Ch. 10,,92.0,6.0,100.0,2018-10-07T17:04:03.503
whitemah,Saad,Conklin,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220488,In Class Activities,1220511,Quiz Ch. 2,,99.0,2.0,100.0,2018-10-18T13:56:32.553
striefs1,Jeoffrey,Sutterlin,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220462,In Class Activities,1220482,Nov 6,,2.0,6.0,97.0,2018-10-25T13:27:06.463
striefs1,Nichole,Wagenmaker,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220501,Exam,1220465,Aug 28,,2.0,2.0,100.0,2018-09-13T12:56:24.800
shamis,Saad,Koehn,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220462,In Class Activities,1220483,Quiz Ch. 15,,2.0,2.0,100.0,2018-10-09T17:17:39.477
whitemah,Saad,Despelder,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220462,In Class Activities,1220499,Sep 4,,2.0,2.0,100.0,2018-09-27T13:54:34.693
amird,Jason,Shami,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220488,In Class Activities,1220480,Exam 4,,2.0,2.0,100.0,2018-10-02T13:01:59.053
whitsoc1,Jeoffrey,Despelder,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220462,Online Quiz,1220482,Aug 30,,2.0,100.0,100.0,2018-11-20T14:47:21.907
carrh1,Sophia,Spitzley,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220488,Exam,1220487,Sep 11,,11.0,2.0,100.0,2018-10-27T18:01:06.943
assafa1,Saad,Sutterlin,104,Student,167331,CHEM151-40386-201910,General Chemistry Lecture I - 40386,CHEM151-40386-201910,1220488,In Class Activities,1220510,Nov 20,,2.0,100.0,100.0,2018-11-01T13:53:20.473
