Username,FirstName,LastName,RoleId,RoleName,CourseOfferingId,CourseOfferingCode,CourseOfferingName,CourseSectionCode,GradeItemCategoryId,GradeItemCategoryName,GradeItemId,GradeItemName,GradeItemWeight,PointsNumerator,PointsDenominator,GradeValue,GradeLastModified
benwardk,Melissa,Smith,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234719,Quizzes,1234700,Paper 1,,30.0,30.0,93.33,2018-10-11T23:29:11.280
gensterm,Audrey,Murphy,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,0,Exercises,1234714,Quiz 6,,4.15,30.0,80.0,2018-10-29T23:59:25.070
noekera,Angela,Galbavi,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234740,Quizzes,1234711,Paper 2,,871.3,5.0,94.0,2018-10-09T05:43:38.027
glovera7,Tory,Sack,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Final Exam,1234722,Final Exam Part 2,,4.9,30.0,100.0,2018-12-14T00:41:39.990
lillya4,Mckenna,Kinne,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Exercises,1234715,Exercises 12,,28.84,30.0,94.0,2018-10-19T13:50:35.003
caroena,Stephanie,Ogden,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Quizzes,1234702,Quiz 16,,30.0,30.0,93.0,2018-10-27T16:23:11.407
noekera,Melissa,Gillett,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234719,,1234708,Paper 2,,29.0,30.0,76.0,2018-10-06T18:25:16.640
kingm34,Taylor,Galbavi,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234699,Quizzes,1234724,Quiz 5,,27.0,5.0,93.33,2018-12-17T22:53:28.597
BLOEMK,Eva,Zahniser,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Quizzes,1234712,Quiz 6,,29.0,30.0,100.0,2018-11-26T14:50:49.833
olsonm1,Auston,Sack,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234719,Quizzes,1234718,Quiz 1,,4.63,100.0,96.0,2018-08-23T23:30:17.083
youngt35,Taylor,King,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Quizzes,1234718,Exercises 4,,4.6,5.0,84.0,2018-10-23T14:24:22.377
pirochb1,Audrey,Greenidge,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Exercises,1234728,Quiz 14,,30.0,30.0,92.0,2018-10-23T05:21:35.530
olsonm1,Melissa,Greenidge,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Exercises,1234711,Quiz 18,,4.57,30.0,90.0,2018-11-13T23:12:40.437
gilletm1,Angel,Harris,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234699,Exercises,1234720,Quiz 4,,3.89,5.0,86.0,2018-11-02T16:38:10.997
ogdena1,Robert,Sack,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234699,Dissection Papers,1234708,Final Adjusted Grade,,28.0,5.0,96.67,2018-10-09T21:58:49.667
pirochb1,Courtney,Bugis,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Exercises,1234722,Exercises 18,,37.0,1000.0,86.67,2018-12-10T15:25:54.183
pirochb1,Kiley,Young,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Quizzes,1234723,Quiz 7,,4.8,30.0,84.0,2018-12-14T22:00:26.080
BLOEMK,Genie,Martin,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Exercises,1234728,Quiz 5,,3.31,5.0,86.0,2018-11-27T00:36:45.220
burkec7,Casey,Young,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Quizzes,1234728,Exercises 13,,4.75,30.0,76.67,2018-08-30T20:56:48.057
ivesl,Eva,Burke,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Exercises,1234723,Quiz 13,,4.84,30.0,98.0,2018-08-31T13:18:19.053
galbavie,Cassandra,Caroen,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Exercises,1234710,Exercises 4,,27.0,30.0,96.0,2018-08-27T00:46:37.160
benwardk,Anna,Young,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Dissection Papers,1234702,Exercises 13,,29.0,5.0,93.33,2018-11-11T17:55:33.717
ivesl,Angel,King,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Quizzes,1234698,Exercises 19,,28.66,5.0,93.0,2018-12-17T14:54:43.057
elbastc,April,Burke,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Quizzes,1234703,Exercises 14,,123.64,5.0,90.0,2018-11-29T21:56:25.140
murphk24,Melissa,Benward-Cole,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,0,Quizzes,1234701,Quiz 12,,4.7,30.0,73.33,2018-12-15T22:59:43.953
gensterm,Lynda,Smith,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Exercises,1234721,Exercises 11,,4.45,50.0,100.0,2018-11-05T21:07:51.317
jonesr57,Alex,Greenidge,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Exercises,1234746,Exercises 5,,29.0,5.0,98.0,2018-11-28T16:03:55.610
mcguirc5,Ariane,Olson,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Quizzes,1234709,Paper 2,,27.5,30.0,100.0,2018-09-21T15:37:37.937
murphk24,Courtney,Young,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Exercises,1234725,Quiz 9,,28.0,30.0,100.0,2018-12-03T15:45:01.693
burkec7,Madison,Macon,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Quizzes,1234733,Quiz 4,,7.75,30.0,91.06,2018-09-20T22:02:03.060
green137,Stephanie,Bloem,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234744,Exercises,1234735,Exercises 17,,30.0,1000.0,100.0,2018-11-13T00:20:11.003
stepana2,April,Zahniser,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234699,,1234695,Quiz 1,,4.9,5.0,100.0,2018-10-25T13:39:26.867
green137,Genie,Zahniser,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234744,Quizzes,1234714,Exercises 1,,4.7,30.0,88.0,2018-12-18T02:27:03.993
green137,Genie,Kinne,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Exercises,1234729,Exercises 8,,27.0,5.0,93.33,2018-11-26T14:51:08.660
maconm,Eva,Pirochta,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Exercises,1234711,Quiz 4,,4.5,5.0,89.0,2018-11-30T23:02:33.670
sackg,Ashleigh,Galbavi,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Quizzes,1234706,Exercises 7,,5.0,30.0,98.0,2018-10-11T15:21:09.253
youngt35,Courtney,Greenidge,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234740,Exercises,1234745,Exercises 3,,4.97,30.0,62.0,2018-11-30T19:21:45.687
tkaczyks,Stephanie,Caroen,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234719,Exercises,1234710,Paper 1,,8.0,5.0,93.0,2018-08-26T13:18:27.303
tkaczyks,Ariane,Gillett,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234740,Exercises,1234727,Quiz 1,,27.75,30.0,80.0,2018-09-07T17:27:05.730
harrit48,Anna,Brown,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234719,Dissection Papers,1234731,Exercises 16,,4.25,5.0,78.0,2018-10-19T14:01:08.993
kinnea1,Mckenna,Burke,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Exercises,1234738,Final Calculated Grade,,30.0,30.0,0.0,2018-09-07T01:28:28.923
mcguirc5,Tory,Glover,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,0,Exercises,1234724,Exercises 3,,27.0,5.0,100.0,2018-10-03T23:17:59.387
tkaczyks,Mikayla,Jones,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Quizzes,1234706,Exercises 18,,5.0,30.0,90.0,2018-12-17T15:05:21.620
mackoula,MacKenzie,Bloem,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,0,Exercises,1234732,Quiz 19,,27.0,30.0,66.22,2018-11-16T01:19:32.900
kinnea1,Cassandra,Noeker,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,0,Exercises,1234727,Quiz 11,,4.5,5.0,66.67,2018-08-25T15:25:23.067
burkec7,Angela,De la Portilla,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Exercises,1234741,Exercises 17,,30.0,5.0,80.0,2018-09-20T02:46:57.767
mackoula,Breanna,King,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40896-201910,1234719,Quizzes,1234724,Exercises 18,,29.0,30.0,98.0,2018-09-14T13:37:18.277
jonesr57,Breanna,Luttrell,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Quizzes,1234698,Exercises 3,,4.7,1000.0,93.33,2018-11-28T11:33:28.473
glovera7,Stephanie,Glover,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Pre-Test,1234745,Exercises 2,,30.0,5.0,96.67,2018-11-05T02:57:52.893
luttrels,Audrey,Pirochta,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Quizzes,1234713,Final Adjusted Grade,,29.0,100.0,96.67,2018-12-14T00:41:40.020
younge15,Courtney,Kinne,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234719,Exercises,1234730,Quiz 16,,25.0,5.0,82.0,2018-10-10T22:54:52.803
gilletm1,Taylor,Caroen,104,Student,167237,CHSE120-40691-201910,Medical Terminology - 40691,CHSE120-40691-201910,1234699,Quizzes,1234701,Exercises 1,,29.0,30.0,91.67,2018-11-03T00:57:15.640
