Username,FirstName,LastName,RoleId,RoleName,CourseOfferingId,CourseOfferingCode,CourseOfferingName,CourseSectionCode,GradeItemCategoryId,GradeItemCategoryName,GradeItemId,GradeItemName,GradeItemWeight,PointsNumerator,PointsDenominator,GradeValue,GradeLastModified
messingb,Lonnie,Wisenbaugh,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40547-201910,1242137,Assignments,1242120,Final Exam,,67.0,20.0,92.43,2018-09-17T09:17:50.627
huynhs1,Joseph,McAfee,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40547-201910,1242119,,1242141,Quiz11_ch11,,17.95,20.0,100.0,2018-10-25T22:44:26.980
holguim1,Zachary,Dawson,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40545-201910,1242149,Projects,1242123,A2,,18.93,700.0,100.0,2018-09-11T10:23:58.657
harrins5,Trevor,Mali,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40545-201910,1242137,Quizzes,1242121,Quiz8_ch8,,18.89,20.0,61.54,2018-11-21T01:22:34.420
hollidr1,Pratyusha,Kimball,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40545-201910,1242137,Quizzes,1242148,Quiz7_ch7_12,,,20.0,100.0,2018-10-01T22:37:29.310
hacketto,Shane,Blair,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40545-201910,1242133,Quizzes,1242129,A8,,18.79,20.0,100.0,2018-12-17T21:26:17.557
shepardf,Stacy,Huynh,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40547-201910,1242137,Assignments,1242139,A4,,20.0,100.0,86.11,
bakerp8,Robert,Smith,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40547-201910,1242119,Quizzes,1242145,A2,,20.0,20.0,100.0,2018-09-11T20:30:35.147
guilfoa1,Jade,Preston,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40545-201910,1242137,Quizzes,1242130,Quiz11_ch11,,,20.0,91.67,2018-12-10T18:32:09.533
wisenbal,Logan,Almquist,104,Student,167161,CITF110-40545-201910,Intro Computer Info Systems - 40545,CITF110-40547-201910,1242137,Quizzes,1242143,Final Exam,,6.0,20.0,100.0,2018-12-17T21:26:18.087
