Username,FirstName,LastName,RoleId,RoleName,CourseOfferingId,CourseOfferingCode,CourseOfferingName,CourseSectionCode,GradeItemCategoryId,GradeItemCategoryName,GradeItemId,GradeItemName,GradeItemWeight,PointsNumerator,PointsDenominator,GradeValue,GradeLastModified
ducettc,Andrea,Rodriguez,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,1218864,Weekly assignments,1218861,Exam 2,,5.0,5.0,100.0,2018-09-06T16:06:41.460
cassanj1,Katie,Green,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,0,,1218886,Week 4,,5.0,5.0,100.0,2018-08-30T16:15:40.330
luntb,Paige,Ducett,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,1218882,Weekly assignments,1218869,Lead Discussion,,5.0,505.0,82.0,2018-09-11T16:14:53.650
hillstrm,Andrea,Jennings,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,1218882,Weekly assignments,1218877,Week 5,,5.0,5.0,100.0,2018-10-22T12:37:17.370
anthona2,Noemi,Combs,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,1218864,Weekly assignments,1218876,Week 14,,5.0,5.0,100.0,2018-12-17T20:14:15.710
witta3,Jalen,Rodriguez,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,1218864,Exams,1218877,Final Adjusted Grade,,64.0,,100.0,2018-11-29T17:25:30.617
piotroj2,Conner,Witt,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,1218864,Weekly assignments,1218865,Exam 1,,5.0,5.0,100.0,2018-10-31T15:31:31.740
saylorc3,Madison,Rodriguez,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,1218882,Weekly assignments,1218871,Week 7,,5.0,5.0,96.0,2018-09-06T16:06:41.350
hampd4,Michael,Anthony,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,1218864,Weekly assignments,1218868,Final Calculated Grade,,5.0,,100.0,2018-08-30T16:15:40.287
luntb,Jackson,Hill-Straight,104,Student,167025,CJUS101-41087-201910,Intro to Criminal Justice - 41087,CJUS101-41087-201910,1218864,Weekly assignments,1218876,Week 9,,5.0,5.0,100.0,2018-12-13T12:53:39.347
